;Команда;2-очк;;;3-очк;;;2+3-очк;;;штр з;штр б;штр %;Пд ч;Пд с;Пд в;РП;Ф иг;Ф на;Пт;Пх;Бш иг;Бш на;Эфф;пропуск;пропуск;разн;пропуск;пропуск;Турнир;пропуск;Очки;Сезон
12;23;21;44;47.72727273;5;21;23.80952381;26;65;40;8;18;44.44444444;11;18;29;13;21;23;9;6;4;2;59;65;93;-28;34;83;2;7;65;17
13;19;20;35;57.14285714;7;25;28;27;60;45;8;12;66.66666667;11;25;36;18;17;13;20;10;9;2;79;69;77;-8;35;72;2;8;69;17
14;16;17;37;45.94594595;7;26;26.92307692;24;63;38.0952381;11;18;61.11111111;10;30;40;16;22;21;12;2;8;1;74;66;76;-10;35;81;1;6;66;17
15;28;13;32;40.625;10;27;37.03703704;23;59;38.98305085;11;14;78.57142857;10;22;32;14;24;18;10;7;2;2;65;67;71;-4;34;73;2;9;67;17
16;39;23;39;58.97435897;10;20;50;33;59;55.93220339;6;13;46.15384615;5;22;27;20;17;19;11;3;1;2;89;82;73;9;39;72;2;10;82;17
17;27;17;27;62.96296296;9;24;37.5;26;51;50.98039216;18;21;85.71428571;7;23;30;18;25;19;17;2;3;0;87;79;80;-1;44;72;1;7;79;17
18;20;23;34;67.64705882;7;22;31.81818182;30;56;53.57142857;10;11;90.90909091;7;26;33;13;23;19;14;6;0;3;81;77;71;6;40;67;2;11;77;17
19;21;24;46;52.17391304;7;33;21.21212121;31;79;39.24050633;21;40;52.5;25;21;46;17;27;33;9;7;4;0;88;90;87;3;52;119;1;8;90;17
20;26;14;23;60.86956522;16;37;43.24324324;30;60;50;8;8;100;10;18;28;22;13;13;12;4;1;1;96;84;93;-9;38;68;2;12;84;17
21;2;12;28;42.85714286;17;35;48.57142857;29;63;46.03174603;11;12;91.66666667;8;21;29;23;23;16;10;11;1;3;95;86;68;18;40;75;2;13;86;17
22;31;18;39;46.15384615;7;23;30.43478261;25;62;40.32258065;11;18;61.11111111;10;20;30;15;26;21;11;7;5;5;60;68;79;-11;36;80;2;14;68;17
23;14;25;47;53.19148936;7;17;41.17647059;32;64;50;21;26;80.76923077;14;30;44;16;24;25;12;10;6;4;119;92;62;30;53;90;1;9;92;17
